Topic	Title	Link	EDAM topic	EDAM operation	Creation	Last modification	Version	Tutorial	Slides	Video	Workflows	Tools	Servers with precise tool versions	Servers with tool but different versions	Feedback number	Feedback mean note	Visitors	Page views	Visit duration	Video views
FAIR Data, Workflows, and Research	Data management in Medicinal Chemistry	https://training.galaxyproject.org//topics/fair/tutorials/med-chem-data/tutorial.html			2026-08-16	2026-08-16	0	True	False	True	True	openbabel_svg_depiction, ctb_silicos_qed, ctb_im_rxn_maker, chembl, openbabel_compound_convert, get_pdb, md_converter	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.org (Main)	UseGalaxy.be, UseGalaxy.no	0		1	1	0.0	0
FAIR Data, Workflows, and Research	Integrating InvenioRDM-compatible Repositories with Galaxy	https://training.galaxyproject.org//topics/fair/tutorials/inveniordm-integration/tutorial.html			2025-11-06	2025-11-06	1	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		121	128	21.2	0
FAIR Data, Workflows, and Research	Uploading Data to Zenodo from Galaxy	https://training.galaxyproject.org//topics/fair/tutorials/zenodo-in-galaxy/tutorial.html			2025-11-06	2025-11-06	1	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		155	164	30.983333333333334	0
Using Galaxy and Managing your Data	Creating, Editing and Importing Galaxy Workflows	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/workflow-editor/tutorial.html			2020-07-17	2023-11-09	12	True	False	False	True	Show beginning1, Paste1, tp_tac	Galaxy@AuBi, GalaxyTrakr, UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	HyPhy HIV NGS Tools, MISSISSIPPI	0		6632	8196	7.6	0
Using Galaxy and Managing your Data	Workflow Reports	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/workflow-reports/tutorial.html		Visualisation	2022-06-02	2024-06-14	9	True	False	True	True	Remove beginning1, Cut1, ggplot2_point, upload1, Grouping1, datamash_ops, csv_to_tabular, tp_sorted_uniq	UseGalaxy.be, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	Galaxy@AuBi, MISSISSIPPI, UseGalaxy.cz	0		1046	1396	11.5	0
Using Galaxy and Managing your Data	Using Workflow Parameters	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/workflow-parameters/tutorial.html			2019-06-27	2024-06-14	15	True	False	True	True	tp_head_tool	Galaxy@AuBi, GalaxyTrakr, UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.no, UseGalaxy.org (Main)	HyPhy HIV NGS Tools, MISSISSIPPI	0		2191	2764	10.45	0
Using Galaxy and Managing your Data	Creating high resolution images of Galaxy Workflows	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/workflow-posters/tutorial.html			2024-02-05	2025-04-08	3	True	False	False	False	graphicsmagick_image_convert	UseGalaxy.eu	UseGalaxy.be, UseGalaxy.cz, UseGalaxy.no	0		411	491	25.383333333333333	0
Using Galaxy and Managing your Data	Extracting Workflows from Histories	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/history-to-workflow/tutorial.html			2017-10-18	2026-07-23	9	True	False	False	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		3275	4203	11.15	0
Using Galaxy and Managing your Data	Rule Based Uploader: Advanced	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/upload-rules-advanced/tutorial.html			2018-05-25	2024-06-14	11	True	False	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		953	1256	16.766666666666666	0
Using Galaxy and Managing your Data	Annotate, prepare tests and publish Galaxy workflows in workflow registries	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/workflow-fairification/tutorial.html		Visualisation, Validation, Read mapping, Sequencing quality control	2025-05-26	2025-05-26	1	True	False	False	False	falco, multiqc	UseGalaxy.org.au, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	GalaxyTrakr	0		501	581	8.233333333333333	0
Using Galaxy and Managing your Data	Rule Based Uploader	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/upload-rules/tutorial.html			2020-07-04	2024-06-14	11	True	False	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		6125	7831	10.083333333333334	0
Using Galaxy and Managing your Data	Understanding Galaxy history system	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/history/tutorial.html			2017-02-20	2026-07-23	13	True	False	True	False			UseGalaxy.eu, UseGalaxy.org, UseGalaxy.org.au, UseGalaxy.fr, UseGalaxy.ca	0		6111	7772	10.066666666666666	0
Using Galaxy and Managing your Data	Using dataset collections	https://training.galaxyproject.org//topics/galaxy-interface/tutorials/collections/tutorial.html		Generation, Read mapping, Sequence alignment, Genome indexing	2016-09-30	2024-12-05	20	True	False	True	False	bwa_mem, snpSift_extractFields, collapse_dataset, lofreq_call	UseGalaxy.org.au, UseGalaxy.eu, UseGalaxy.org (Main)	GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		17529	23709	8.733333333333333	0
Introduction to Galaxy Analyses	Galaxy Basics for genomics	https://training.galaxyproject.org//topics/introduction/tutorials/galaxy-intro-101/tutorial.html		Mapping	2016-12-19	2026-07-23	69	True	False	True	True	upload1, comp1, datamash_ops, bedtools_intersectbed, tp_sort_header_tool, tp_head_tool	UseGalaxy.cz, UseGalaxy.eu, UseGalaxy.fr, UseGalaxy.org (Main)	Galaxy@AuBi, GalaxyTrakr, MISSISSIPPI, UseGalaxy.be, UseGalaxy.no	0		56575	89670	8.55	0
Introduction to Galaxy Analyses	Introduction to Galaxy as an RDM platform	https://training.galaxyproject.org//topics/introduction/tutorials/galaxy-intro-rdm/tutorial.html		Visualisation	2026-03-19	2026-07-23	3	True	False	False	True	export_remote, Add_a_column1, imagemagick_image_montage, column_remove_by_header, unzip, Summary_Statistics1, ggplot2_histogram	UseGalaxy.be, UseGalaxy.eu	UseGalaxy.org.au, UseGalaxy.cz, UseGalaxy.org (Main)	0		427	533	11.416666666666666	0
Introduction to Galaxy Analyses	How to reproduce published Galaxy analyses	https://training.galaxyproject.org//topics/introduction/tutorials/galaxy-reproduce/tutorial.html		Visualisation	2021-08-25	2026-07-23	13	True	False	False	True	Remove beginning1, Cut1, ggplot2_point, upload1, Grouping1, datamash_ops, csv_to_tabular, tp_sorted_uniq	Galaxy@AuBi, UseGalaxy.be, UseGalaxy.eu, UseGalaxy.org (Main)	MISSISSIPPI, UseGalaxy.cz, UseGalaxy.fr, UseGalaxy.no	0		2472	3256	17.116666666666667	0
Introduction to Galaxy Analyses	Data Manipulation Olympics	https://training.galaxyproject.org//topics/introduction/tutorials/data-manipulation-olympics/tutorial.html			2022-07-20	2026-07-23	17	True	False	False	True	{{version_split}}, {{version_cut_columns}}, Cut1, Grouping1, {{version_count}}, {{version_paste}}, tp_cat, tp_sorted_uniq, tabular_to_csv, Count1, {{version_compute}}, {{version_remove_columns_by_header}}, {{version_replace_text_line}}, join1, Filter1, {{version_remove_beginning}}, cat1, datamash_ops, Add_a_column1, tp_split_on_column, {{version_cat}}, {{version_datamash}}, {{version_replace_text_column}}, {{version_join}}, {{version_sort}}, {{version_wc}}, upload1, {{version_filter}}, tp_sort_header_tool, {{version_select_first}}, wc_gnu, regexColumn1, Remove beginning1, {{version_unique}}, Show beginning1, {{version_cut_advanced}}			0		7071	10107	11.583333333333334	0
